objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
377612,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,25,TERRITORIAL,47.3844,64085.44,655078.6916,3866875642,COMPRA E VENDA,2019
377613,128,Barra da Tijuca           ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,81,TERRITORIAL,87.347654,1008.641975,1605659.597777,2261842.268024,COMPRA E VENDA,2019
377614,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,210,TERRITORIAL,96.253476,3586.239234,139909.742047,153452.603809,COMPRA E VENDA,2019
377615,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,2,TERRITORIAL,100,239,99013.52,99013.52,COMPRA E VENDA,2020
377616,93,Cacuia                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,598,256759.99,256759.99,COMPRA E VENDA,2020
377617,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,100,465,127558.36,127558.36,COMPRA E VENDA,2020
377618,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,9,TERRITORIAL,100,34207.222222,160838.282222,160838.282222,COMPRA E VENDA,2020
377619,84,Vaz Lobo                  ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,451,151351.21,151351.21,COMPRA E VENDA,2020
377620,80,Cavalcanti                ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,232,89992.49,89992.49,COMPRA E VENDA,2020
377621,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,11,TERRITORIAL,85.984545,472.636363,174404.222727,201581.317272,COMPRA E VENDA,2020
377622,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,31,TERRITORIAL,100,254.516129,43952.882258,43952.882258,COMPRA E VENDA,2020
377623,10,São Cristóvão             ,1,1.1,Centro,7,SAO CRISTOVAO           ,2,TERRITORIAL,100,11039,2266317855,2266317855,COMPRA E VENDA,2020
377624,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,592,475474.99,475474.99,COMPRA E VENDA,2020
377625,5,Centro                    ,1,1.1,Centro,2,CENTRO                  ,2,TERRITORIAL,56.25,754,15522720.01,15681760.01,COMPRA E VENDA,2020
377626,9,Estácio                   ,1,1.1,Centro,3,RIO COMPRIDO            ,1,TERRITORIAL,100,268,134400,134400,COMPRA E VENDA,2020
